Test Date,Borough,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,year,month
2020-03-01,Bronx,0,0,0,0,2020,3
2020-03-02,Bronx,0,0,0,0,2020,3
2020-03-03,Bronx,0,0,1,1,2020,3
2020-03-04,Bronx,0,0,0,1,2020,3
2020-03-05,Bronx,0,0,5,6,2020,3
2020-03-06,Bronx,0,0,6,12,2020,3
2020-03-07,Bronx,0,0,17,29,2020,3
2020-03-08,Bronx,1,1,16,45,2020,3
2020-03-09,Bronx,4,5,31,76,2020,3
2020-03-10,Bronx,0,5,47,123,2020,3
2020-03-11,Bronx,2,7,31,154,2020,3
2020-03-12,Bronx,3,10,36,190,2020,3
2020-03-13,Bronx,10,20,99,289,2020,3
2020-03-14,Bronx,8,28,80,369,2020,3
2020-03-15,Bronx,29,57,116,485,2020,3
2020-03-16,Bronx,29,86,151,636,2020,3
2020-03-17,Bronx,123,209,433,1069,2020,3
2020-03-18,Bronx,154,363,597,1666,2020,3
2020-03-19,Bronx,191,554,605,2271,2020,3
2020-03-20,Bronx,297,851,884,3155,2020,3
2020-03-21,Bronx,367,1218,1044,4199,2020,3
2020-03-22,Bronx,606,1824,1276,5475,2020,3
2020-03-23,Bronx,455,2279,970,6445,2020,3
2020-03-24,Bronx,611,2890,1188,7633,2020,3
2020-03-25,Bronx,838,3728,1770,9403,2020,3
2020-03-26,Bronx,829,4557,1428,10831,2020,3
2020-03-27,Bronx,846,5403,1478,12309,2020,3
2020-03-28,Bronx,901,6304,1529,13838,2020,3
2020-03-29,Bronx,658,6962,1160,14998,2020,3
2020-03-30,Bronx,804,7766,1341,16339,2020,3
2020-03-31,Bronx,1095,8861,1818,18157,2020,3
2020-04-01,Bronx,1066,9927,1754,19911,2020,4
2020-04-02,Bronx,1159,11086,1946,21857,2020,4
2020-04-03,Bronx,1229,12315,2108,23965,2020,4
2020-04-04,Bronx,1053,13368,1778,25743,2020,4
2020-04-05,Bronx,959,14327,1628,27371,2020,4
2020-04-06,Bronx,1021,15348,1996,29367,2020,4
2020-04-07,Bronx,1278,16626,2562,31929,2020,4
2020-04-08,Bronx,1166,17792,2348,34277,2020,4
2020-04-09,Bronx,1368,19160,2637,36914,2020,4
2020-04-10,Bronx,1317,20477,2580,39494,2020,4
2020-04-11,Bronx,964,21441,2081,41575,2020,4
2020-04-12,Bronx,764,22205,1623,43198,2020,4
2020-04-13,Bronx,1061,23266,2294,45492,2020,4
2020-04-14,Bronx,1387,24653,2622,48114,2020,4
2020-04-15,Bronx,1279,25932,2939,51053,2020,4
2020-04-16,Bronx,1103,27035,2793,53846,2020,4
2020-04-17,Bronx,984,28019,2597,56443,2020,4
2020-04-18,Bronx,804,28823,2162,58605,2020,4
2020-04-19,Bronx,549,29372,1707,60312,2020,4
2020-04-20,Bronx,617,29989,2050,62362,2020,4
2020-04-21,Bronx,879,30868,2942,65304,2020,4
2020-04-22,Bronx,791,31659,3084,68388,2020,4
2020-04-23,Bronx,1042,32701,3691,72079,2020,4
2020-04-24,Bronx,1482,34183,4800,76879,2020,4
2020-04-25,Bronx,787,34970,2967,79846,2020,4
2020-04-26,Bronx,586,35556,2363,82209,2020,4
2020-04-27,Bronx,438,35994,2107,84316,2020,4
2020-04-28,Bronx,606,36600,2938,87254,2020,4
2020-04-29,Bronx,644,37244,2977,90231,2020,4
2020-04-30,Bronx,541,37785,2824,93055,2020,4
2020-05-01,Bronx,665,38450,3694,96749,2020,5
2020-05-02,Bronx,466,38916,2857,99606,2020,5
2020-05-03,Bronx,307,39223,1869,101475,2020,5
2020-05-04,Bronx,253,39476,2001,103476,2020,5
2020-05-05,Bronx,363,39839,2657,106133,2020,5
2020-05-06,Bronx,342,40181,2786,108919,2020,5
2020-05-07,Bronx,352,40533,3078,111997,2020,5
2020-05-08,Bronx,271,40804,2873,114870,2020,5
2020-05-09,Bronx,255,41059,2935,117805,2020,5
2020-05-10,Bronx,237,41296,2140,119945,2020,5
2020-05-11,Bronx,145,41441,1510,121455,2020,5
2020-05-12,Bronx,236,41677,2678,124133,2020,5
2020-05-13,Bronx,303,41980,3338,127471,2020,5
2020-05-14,Bronx,539,42519,4408,131879,2020,5
2020-05-15,Bronx,293,42812,3632,135511,2020,5
2020-05-16,Bronx,210,43022,2861,138372,2020,5
2020-05-17,Bronx,136,43158,2126,140498,2020,5
2020-05-18,Bronx,112,43270,2102,142600,2020,5
2020-05-19,Bronx,148,43418,2682,145282,2020,5
2020-05-20,Bronx,185,43603,3618,148900,2020,5
2020-05-21,Bronx,163,43766,3421,152321,2020,5
2020-05-22,Bronx,155,43921,3518,155839,2020,5
2020-05-23,Bronx,216,44137,4575,160414,2020,5
2020-05-24,Bronx,110,44247,2445,162859,2020,5
2020-05-25,Bronx,117,44364,2233,165092,2020,5
2020-05-26,Bronx,139,44503,3064,168156,2020,5
2020-05-27,Bronx,250,44753,5657,173813,2020,5
2020-05-28,Bronx,221,44974,5781,179594,2020,5
2020-05-29,Bronx,142,45116,4817,184411,2020,5
2020-05-30,Bronx,137,45253,4338,188749,2020,5
2020-05-31,Bronx,106,45359,3997,192746,2020,5
2020-06-01,Bronx,107,45466,4069,196815,2020,6
2020-06-02,Bronx,105,45571,3579,200394,2020,6
2020-06-03,Bronx,117,45688,4303,204697,2020,6
2020-06-04,Bronx,90,45778,4606,209303,2020,6
2020-06-05,Bronx,104,45882,5144,214447,2020,6
2020-06-06,Bronx,98,45980,4164,218611,2020,6
2020-06-07,Bronx,72,46052,3718,222329,2020,6
