Borough,grade,date,year,month
Manhattan,A,2020-01-27,2020,1
Brooklyn,A,2021-09-03,2021,9
Queens,A,2020-02-26,2020,2
Bronx,A,2021-07-29,2021,7
Queens,A,2021-09-27,2021,9
Queens,A,2021-11-17,2021,11
Manhattan,A,2020-02-13,2020,2
Brooklyn,B,2020-01-08,2020,1
Queens,A,2020-02-28,2020,2
Queens,A,2020-02-24,2020,2
Manhattan,A,2021-07-29,2021,7
Brooklyn,A,2020-02-05,2020,2
Brooklyn,A,2020-02-05,2020,2
Manhattan,A,2020-02-01,2020,2
Brooklyn,A,2020-01-27,2020,1
Brooklyn,A,2020-01-27,2020,1
Brooklyn,A,2020-02-26,2020,2
Manhattan,A,2020-01-09,2020,1
Queens,A,2020-02-21,2020,2
Manhattan,A,2020-01-16,2020,1
Manhattan,A,2020-02-26,2020,2
Manhattan,A,2020-02-26,2020,2
Manhattan,A,2020-02-26,2020,2
Brooklyn,C,2020-02-27,2020,2
Manhattan,B,2020-01-29,2020,1
Brooklyn,A,2020-01-29,2020,1
Manhattan,A,2020-02-26,2020,2
Queens,A,2020-02-26,2020,2
Manhattan,A,2020-01-14,2020,1
Staten,A,2020-02-12,2020,2
Manhattan,A,2020-01-02,2020,1
Queens,A,2021-11-22,2021,11
Queens,A,2020-02-10,2020,2
Brooklyn,A,2020-02-12,2020,2
Queens,A,2020-02-18,2020,2
Brooklyn,A,2021-11-18,2021,11
Bronx,A,2020-03-16,2020,3
Manhattan,A,2021-07-20,2021,7
Manhattan,A,2021-07-22,2021,7
Queens,A,2020-03-03,2020,3
Manhattan,A,2020-01-09,2020,1
Brooklyn,A,2021-07-27,2021,7
Brooklyn,A,2021-07-27,2021,7
Manhattan,A,2021-07-27,2021,7
Brooklyn,A,2020-01-14,2020,1
Manhattan,A,2021-08-19,2021,8
Queens,A,2020-02-24,2020,2
Brooklyn,A,2021-08-24,2021,8
Queens,A,2020-02-18,2020,2
Manhattan,A,2020-02-24,2020,2
Manhattan,A,2021-08-12,2021,8
Bronx,B,2020-01-10,2020,1
Brooklyn,A,2020-02-26,2020,2
Queens,A,2020-01-14,2020,1
Queens,A,2020-01-25,2020,1
Manhattan,A,2020-01-06,2020,1
Queens,A,2021-10-22,2021,10
Brooklyn,A,2020-02-06,2020,2
Manhattan,A,2020-02-10,2020,2
Manhattan,A,2021-08-24,2021,8
Brooklyn,A,2020-02-25,2020,2
Manhattan,A,2021-09-09,2021,9
Brooklyn,A,2020-03-04,2020,3
Brooklyn,A,2020-01-27,2020,1
Queens,A,2020-02-04,2020,2
Manhattan,A,2020-02-13,2020,2
Queens,A,2020-01-15,2020,1
Queens,A,2021-10-12,2021,10
Manhattan,A,2021-08-04,2021,8
Manhattan,A,2021-07-28,2021,7
Manhattan,A,2020-01-30,2020,1
Manhattan,A,2020-01-02,2020,1
Queens,A,2020-01-23,2020,1
Manhattan,A,2021-11-17,2021,11
Brooklyn,A,2020-01-14,2020,1
Manhattan,A,2020-03-03,2020,3
Manhattan,A,2020-03-03,2020,3
Brooklyn,C,2021-09-14,2021,9
Manhattan,A,2020-01-15,2020,1
Queens,A,2020-02-03,2020,2
Queens,A,2020-02-07,2020,2
Bronx,A,2021-09-27,2021,9
Queens,A,2020-02-10,2020,2
Manhattan,C,2020-01-30,2020,1
Manhattan,C,2020-01-30,2020,1
Queens,A,2020-01-28,2020,1
Queens,A,2020-02-21,2020,2
Staten,B,2020-01-08,2020,1
