Borough,street_percent_2021,street_percent_2020,street_percent_2019
Manhattan,99.2,95.9,97.2
Manhattan,98.2,98.2,99.2
Manhattan,86.5,94.5,93.9
Manhattan,96.8,95.7,97.6
Manhattan,98.4,97,96.7
Manhattan,95.5,98,98
Manhattan,98.1,98.6,99.3
Manhattan,96.6,99.2,99.4
Manhattan,93.4,96.9,95
Manhattan,82.1,90.5,91.5
Manhattan,86.4,92.5,93.8
Manhattan,87.6,94.1,86.1
Bronx,82.3,87.8,88.7
Bronx,80.2,91,92.9
Bronx,74.2,90.3,90.6
Bronx,80.9,94.7,87.7
Bronx,81.3,93.4,92.5
Bronx,83.9,95.3,94.3
Bronx,84.3,94.3,94.5
Bronx,96.2,98.7,97.1
Bronx,91,93.6,95.6
Bronx,98.4,98.1,96.3
Bronx,94.4,97.6,96.7
Bronx,93.2,96.5,93.9
Brooklyn,85.3,91.2,84.8
Brooklyn,95.4,97.1,95.3
Brooklyn,83.3,90.7,86.4
Brooklyn,82,95.6,91.9
Brooklyn,86.6,94.1,90.6
Brooklyn,96.1,94.8,95.3
Brooklyn,89.3,96,95.3
Brooklyn,83.1,95.2,94.1
Brooklyn,86.6,97.3,88.2
Brooklyn,96.4,98.6,99.6
Brooklyn,93.6,94.8,95.8
Brooklyn,76.4,87.1,81.5
Brooklyn,86.6,97.5,96.9
Brooklyn,91.6,95.5,94.2
Brooklyn,96.4,96.1,97.5
Brooklyn,69.1,93.3,91.4
Brooklyn,91.4,96,90.9
Brooklyn,93.2,97.3,94.5
Queens,94.5,94.7,95.7
Queens,92.8,95.8,96.6
Queens,95.8,97.1,94.4
Queens,96.4,98.1,93.8
Queens,95.9,97.6,97.2
Queens,99.1,99,99.1
Queens,99,98.9,99.1
Queens,98.1,97.2,97.5
Queens,94.1,97,95.5
Queens,97.3,95.6,98.2
Queens,99.8,99.4,99.6
Queens,95.8,95.2,95.2
Queens,98.6,97.5,96.5
Queens,93.2,97.2,96.5
Staten,96.6,98.1,96.3
Staten,99.1,99,98.7
Staten,99.8,99.7,100
