Borough,year,month,Refuse,Paper,MGP
Brooklyn,2020,5,3395.3,415.9,440.0
Brooklyn,2020,8,3722.6,424.6,457.7
Brooklyn,2020,3,3052.6,421.9,425.8
Brooklyn,2021,5,3421.6,400.8,389.0
Brooklyn,2021,8,3517.7,414.8,385.5
Brooklyn,2021,11,747.3,92.5,87.2
Staten,2020,7,6772.4,900.7,960.4
Queens,2020,12,5191.7,794.5,918.7
Queens,2021,11,1153.7,134.5,148.2
Brooklyn,2020,7,6732.9,679.8,857.7
Queens,2020,5,6563.7,474.0,1065.8
Queens,2020,9,6561.8,520.0,985.4
Queens,2021,3,5640.0,455.7,950.8
Bronx,2021,5,3926.9,270.1,411.8
Staten,2020,5,6495.4,651.4,925.8
Staten,2021,2,4009.7,480.9,563.4
Staten,2021,8,6146.0,609.7,728.6
Staten,2021,11,1233.6,128.9,136.3
Queens,2021,5,7684.0,524.8,953.1
Queens,2020,4,3888.5,607.4,768.9
Queens,2020,11,4221.7,641.8,657.0
Queens,2020,1,3935.7,662.1,696.1
Queens,2021,3,4285.6,669.3,714.4
Queens,2021,10,4325.2,613.6,601.4
Brooklyn,2020,7,4937.5,599.2,598.6
Brooklyn,2021,5,4803.8,535.2,513.8
Brooklyn,2021,6,5237.2,601.1,548.2
Brooklyn,2021,10,5167.2,532.0,484.1
Queens,2020,7,4904.7,517.0,770.5
Brooklyn,2020,2,3871.4,212.0,343.6
Brooklyn,2021,2,3980.1,237.7,349.4
Brooklyn,2021,5,5043.1,280.1,447.7
Brooklyn,2020,4,1865.0,500.2,479.3
Brooklyn,2020,6,2357.8,544.4,488.0
Brooklyn,2021,11,506.5,125.8,93.3
Queens,2020,4,4465.5,335.6,567.5
Bronx,2021,1,3697.3,418.6,625.2
Bronx,2020,11,4292.3,385.7,571.6
Bronx,2020,12,4174.0,488.3,684.6
Bronx,2021,8,4475.6,372.7,622.2
Staten,2020,1,3946.9,586.0,534.8
Staten,2020,8,5021.5,533.7,710.5
