Borough,Revenue Month,total cost,year,month
Queens,2020-01-01,196.35,2020,1
Queens,2020-02-01,258.35,2020,2
Queens,2020-03-01,217.02,2020,3
Queens,2020-04-01,103.34,2020,4
Brooklyn,2020-01-01,72.34,2020,1
Brooklyn,2020-02-01,82.67,2020,2
Brooklyn,2020-03-01,62.0,2020,3
Brooklyn,2020-04-01,39.34,2020,4
Brooklyn,2020-01-01,3968.29,2020,1
Brooklyn,2020-01-01,1932.48,2020,1
Brooklyn,2020-01-01,4309.32,2020,1
Brooklyn,2020-01-01,2769.54,2020,1
Brooklyn,2020-01-01,5301.39,2020,1
Brooklyn,2020-01-01,2180.5,2020,1
Brooklyn,2020-01-01,6613.82,2020,1
Brooklyn,2020-01-01,3689.27,2020,1
Bronx,2020-01-01,38.07,2020,1
Bronx,2020-01-01,237.68,2020,1
Bronx,2020-03-01,39.34,2020,3
Bronx,2020-03-01,248.02,2020,3
Bronx,2020-03-01,36.8,2020,3
Bronx,2020-03-01,227.35,2020,3
Bronx,2020-01-01,382.36,2020,1
Bronx,2020-02-01,382.36,2020,2
Bronx,2020-03-01,485.7,2020,3
Bronx,2020-04-01,2552.52,2020,4
Bronx,2020-01-01,620.05,2020,1
Bronx,2020-02-01,36.8,2020,2
Bronx,2020-03-01,35.53,2020,3
Bronx,2020-04-01,39.34,2020,4
Queens,2020-01-01,20575.19,2020,1
Queens,2020-02-01,17940.0,2020,2
Queens,2020-03-01,16627.57,2020,3
Queens,2020-04-01,17950.33,2020,4
Brooklyn,2020-01-01,1715.46,2020,1
Brooklyn,2020-02-01,1457.11,2020,2
Brooklyn,2020-03-01,1529.45,2020,3
Brooklyn,2020-04-01,1643.12,2020,4
Bronx,2020-01-01,3337.91,2020,1
Bronx,2020-01-01,3472.26,2020,1
Bronx,2020-01-01,7192.53,2020,1
Bronx,2020-02-01,6024.78,2020,2
Bronx,2020-02-01,3172.57,2020,2
Bronx,2020-02-01,3275.91,2020,2
Bronx,2020-03-01,5900.77,2020,3
Bronx,2020-03-01,2841.88,2020,3
Bronx,2020-03-01,3658.27,2020,3
Bronx,2020-04-01,6624.16,2020,4
Bronx,2020-04-01,3906.29,2020,4
Bronx,2020-04-01,4371.32,2020,4
Bronx,2020-01-01,3255.24,2020,1
Bronx,2020-02-01,3058.89,2020,2
Bronx,2020-03-01,3265.58,2020,3
Bronx,2020-04-01,3265.58,2020,4
Bronx,2020-01-01,8928.66,2020,1
Bronx,2020-02-01,6376.14,2020,2
Bronx,2020-03-01,6221.13,2020,3
Bronx,2020-04-01,7192.53,2020,4
Bronx,2020-01-01,2955.55,2020,1
Bronx,2020-02-01,2180.5,2020,2
Bronx,2020-03-01,2211.5,2020,3
Bronx,2020-04-01,2490.52,2020,4
Brooklyn,2020-01-01,206.68,2020,1
Brooklyn,2020-02-01,196.35,2020,2
Brooklyn,2020-03-01,186.01,2020,3
Brooklyn,2020-04-01,196.35,2020,4
Brooklyn,2020-01-01,227.35,2020,1
Brooklyn,2020-02-01,237.68,2020,2
Brooklyn,2020-03-01,217.02,2020,3
Brooklyn,2020-04-01,227.35,2020,4
Brooklyn,2020-01-01,372.03,2020,1
Brooklyn,2020-02-01,237.68,2020,2
Brooklyn,2020-03-01,206.68,2020,3
Brooklyn,2020-04-01,196.35,2020,4
Brooklyn,2020-01-01,516.71,2020,1
Brooklyn,2020-02-01,361.69,2020,2
Brooklyn,2020-03-01,320.36,2020,3
Brooklyn,2020-04-01,299.69,2020,4
Brooklyn,2020-01-01,1942.81,2020,1
Brooklyn,2020-02-01,744.06,2020,2
Brooklyn,2020-03-01,268.69,2020,3
Brooklyn,2020-04-01,227.35,2020,4
Brooklyn,2020-01-01,992.07,2020,1
Brooklyn,2020-02-01,919.73,2020,2
Brooklyn,2020-03-01,134.34,2020,3
Brooklyn,2020-04-01,124.01,2020,4
Brooklyn,2020-01-01,227.35,2020,1
Brooklyn,2020-02-01,206.68,2020,2
Brooklyn,2020-03-01,206.68,2020,3
Brooklyn,2020-04-01,155.01,2020,4
Brooklyn,2020-01-01,258.35,2020,1
Brooklyn,2020-02-01,268.69,2020,2
Brooklyn,2020-03-01,310.02,2020,3
Brooklyn,2020-04-01,361.69,2020,4
Brooklyn,2020-01-01,268.69,2020,1
Brooklyn,2020-02-01,227.35,2020,2
Brooklyn,2020-03-01,227.35,2020,3
Brooklyn,2020-04-01,289.35,2020,4
Brooklyn,2020-01-01,1219.42,2020,1
Brooklyn,2020-02-01,1467.44,2020,2
Brooklyn,2020-03-01,1291.76,2020,3
Brooklyn,2020-04-01,1560.45,2020,4
Brooklyn,2020-01-01,124.01,2020,1
Brooklyn,2020-02-01,82.67,2020,2
Brooklyn,2020-03-01,124.01,2020,3
Brooklyn,2020-04-01,175.68,2020,4
Brooklyn,2020-01-01,382.36,2020,1
Brooklyn,2020-02-01,341.03,2020,2
Brooklyn,2020-03-01,341.03,2020,3
Brooklyn,2020-04-01,330.69,2020,4
Brooklyn,2020-01-01,134.34,2020,1
Brooklyn,2020-02-01,134.34,2020,2
